generacion, id, cromosoma, valor 1,valor 2,valor 3,valor 4,valor 5,valor 6,valor 7,valor 8,valor 9,valor 10,valor 11,valor 12,valor 13,valor 14,valor 15,valor 16,valor 17,valor 18,valor 19,valor 20,valor 21,valor 22,valor 23,valor 24,valor 25,valor 26,valor 27,valor 28,valor 29,valor 30,aptitud_individuo, valor_esperado, promedio_generacion
0,13,100110011000101000111101010001011111000010010010011011110100000110100110111010001110001101000001100000000101100110110000011010001000111110110100000110000000100001011000001101010111010100101010110111101101011111111110001010100000100101111111011001001011010110101000010100010100100100111100110000100111110100000000110000100110011010000001011000100010111000001010000100001111111010000011010111,5.98828,-13.2035,-24.4329,-12.8446,27.2165,-11.7605,-16.6829,-27.1872,-8.97693,-26.9381,-15.2765,-27.1872,1.29288,-4.94079,-12.493,27.8318,29.5751,-14.7271,29.436,-8.71322,1.19033,4.3328,-18.6094,24.3816,15.5622,18.7926,2.04737,-28.8207,-26.2715,-28.4251,7.49577e+08,1.54742,4.84405e+08,
1,77,001000101110101101000100100011011011001110101011100011101001101110000111000000101110011101100010001100101111100001110100101011000010100001111110001001111010111100011010100000000110101101110000010001111100000010110001010110001101101010001000000000110111100110101101010010110000111001011101101101100110100110100001100100001111100000100001101111001001010101111110010110000000001001111101011110,-21.8178,-5.49017,-17.1591,20.1038,24.7845,-26.7183,13.5624,-25.8833,28.2346,5.04334,7.96606,-25.3559,26.6451,-29.8095,21.5834,-15.467,11.57,-23.5979,-22.4918,14.2583,19.8547,-23.2682,-4.31083,-11.9436,3.9812,-29.0184,26.7989,14.8077,0.032963,28.8207,7.56423e+08,1.49087,5.07371e+08,
2,14,011110001000000001011111101000000101100011111101010011100001100110101010011111011110101010011010100111110011111010011010001101100010001100011100101011000001111111111111100001000010100001110011000000010101010011000000101100000010001001111101111111000000100011111101001000111010001101100011001000110110111011111101000011001101101010101011010001111110100000100011111111010010001111111111010000,-1.75436,-27.2018,0.325968,-0.318642,22.88,-10.083,-1.25626,19.9206,-15.3278,-13.4159,2.91906,-9.83396,30,-28.0515,-23.2609,-27.5095,15.1666,-28.9965,28.1174,-28.9525,19.276,-13.4159,17.0785,-1.89354,-26.9894,-9.98047,-22.587,-25.7881,19.276,29.6557,7.99854e+08,1.5464,5.17235e+08,
3,14,011110001000000001011111101000000101100011111101010011100001100110101010011111011110101010011010100111110011111010011010001101100010001100011100101011000001111111111111100001000010100001110011000000010101010011000000101100000010001011111101111111000000100011111101001000111010001101100011001000110110111011111101000011001101101010101011010001111110100000100011111111010010001111111111010000,-1.75436,-27.2018,0.325968,-0.318642,22.88,-10.083,-1.25626,19.9206,-15.3278,-13.4159,2.91906,-9.83396,30,-28.0515,-23.2609,-27.5095,15.1666,-28.9818,28.1174,-28.9525,19.276,-13.4159,17.0785,-1.89354,-26.9894,-9.98047,-22.587,-25.7881,19.276,29.6557,7.99704e+08,1.49391,5.3531e+08,
4,14,011110001000000001011111101000000101100011111101010011100001100110101010011111011110101010011010100111110011111010011010001101100010001100011100101011000001111111111111100001000010100001110011000000010101010011000000101100000010001111111101111111000000100011111101001000111010001101100011001000110110111011111101000011001101101010101011010001111110100000100011111111010010001111111111010000,-1.75436,-27.2018,0.325968,-0.318642,22.88,-10.083,-1.25626,19.9206,-15.3278,-13.4159,2.91906,-9.83396,30,-28.0515,-23.2609,-27.5095,15.1666,-28.9525,28.1174,-28.9525,19.276,-13.4159,17.0785,-1.89354,-26.9894,-9.98047,-22.587,-25.7881,19.276,29.6557,7.99404e+08,1.46529,5.45559e+08,
5,14,011110001000000001011111101000000101100011111101010011100001100110101010011111011110101010011010100111110011111010011010001101100010001100011100101011000001111111111111100001000010100001110011000000010101010011000000101100000010001111111101111111000000100011111101001000111010001101100011001000110110111011111101000011001101101010101011010001111110100000100011111111110010001111111111010000,-1.75436,-27.2018,0.325968,-0.318642,22.88,-10.083,-1.25626,19.9206,-15.3278,-13.4159,2.91906,-9.83396,30,-28.0515,-23.2609,-27.5095,15.1666,-28.9525,28.1174,-28.9525,19.276,-13.4159,17.0785,-1.89354,-26.9894,-9.98047,-22.587,-25.7881,26.777,29.6557,8.34568e+08,1.51131,5.52214e+08,
6,14,011110001000000001011111101000000101100011111101010011100001100110101010011111011110101010011010100111110011111010011010001101100010001100011100101011000001111111111111100001000010100001110011000000010101010011000000101100000010001111111101111111000000100011111101001000111010001101100011001000110110111011111101000011001101101010111011010001111110100000100011111111110010001111111111010000,-1.75436,-27.2018,0.325968,-0.318642,22.88,-10.083,-1.25626,19.9206,-15.3278,-13.4159,2.91906,-9.83396,30,-28.0515,-23.2609,-27.5095,15.1666,-28.9525,28.1174,-28.9525,19.276,-13.4159,17.0785,-1.89354,-26.9894,-9.51166,-22.587,-25.7881,26.777,29.6557,8.34369e+08,1.44401,5.77814e+08,
7,40,000101011011000101100010001011100100010110111101110110101110100000011100001100111110001011100000000001101000010111001111100000001100100111000010001101100110000001001001000101111110011011011110011000000001100011011111110111001111010110111111110100100000101000001011010111000011000101111111001100101100001111100001111101011001000011001111000010010000110010010001000110000101001110001100010010,-24.9164,-19.6276,13.3793,22.25,10.9034,-16.7855,28.3006,-29.956,1.35881,26.2788,-20.8509,-23.6272,-28.9305,-18.7999,13.035,-29.8242,22.4698,7.19692,29.8388,-28.828,12.6029,-6.80137,17.9795,-22.7262,27.5607,-23.9348,-21.5175,-12.9984,1.22696,-24.2425,8.76496e+08,1.57618,5.5609e+08,
8,40,000101011011000101100010001011100100010110111101110110101110100000011110001100111110001011100000000001101000010111001111100000001100100111000010001101100110000001001001000101111110011011011110011000000001100011011111110111001111010110111111110100100000101000001011010111000011000101111111001100101100001111100001111101011001000011001111000010010000110010010001000110000101001110001100010010,-24.9164,-19.6276,13.3793,22.25,10.9034,-15.8479,28.3006,-29.956,1.35881,26.2788,-20.8509,-23.6272,-28.9305,-18.7999,13.035,-29.8242,22.4698,7.19692,29.8388,-28.828,12.6029,-6.80137,17.9795,-22.7262,27.5607,-23.9348,-21.5175,-12.9984,1.22696,-24.2425,8.74719e+08,1.55281,5.63313e+08,
9,32,000111010001100000010011111010111111101101111001000010101011000011000101011101000010011010011111100101110000000011010111000010100110010011110101111101010011001110101001110100000100000100110011011110111010000100111001101111100101011111010111010000011110000110011111000101110000000010110100001011100111110000000110010011110001000110110011000000100100101001100010101101110100000101111010100000,-23.1803,-29.4213,11.2331,14.1851,10.0903,2.56013,-27.7439,29.2382,-29.8095,22.8067,4.64778,28.7401,-16.2654,7.62178,-11.9875,21.8105,-16.4705,17.5766,-8.20046,26.44,26.5938,-29.6704,-27.2824,22.5504,-11.4675,-17.2543,-27.8537,-18.4336,-2.79453,27.4289,8.66995e+08,1.52175,5.69735e+08,
