generacion, id, cromosoma, valor 1,valor 2,valor 3,valor 4,valor 5,valor 6,valor 7,valor 8,valor 9,valor 10,valor 11,valor 12,valor 13,valor 14,valor 15,valor 16,valor 17,valor 18,valor 19,valor 20,valor 21,valor 22,valor 23,valor 24,valor 25,valor 26,valor 27,valor 28,valor 29,valor 30,aptitud_individuo, valor_esperado, promedio_generacion
0,70,000000100000000101101011001010111110100111111010100001110111110011011110110100100101101011011101100100110000000111100101101101100010011010111101011001001010111111100010111100100101100000011101100011011010000100101011100010011001111011111101111000111000110101011000101111010000011011001011110001001000011110000010000010000011000110111010001111110010001110100000001010100100010100100101000101,-29.5312,-19.3639,11.1671,29.3627,-1.92284,14.4488,5.32169,25.4584,-29.5605,12.8373,6.31791,11.7971,29.5751,23.6052,-28.2713,-4.44268,-19.7961,-17.8476,28.0222,16.5657,2.77256,-26.8209,26.5206,-15.9211,-28.0808,-17.0492,29.1942,18.7706,8.51544,-12.6175,8.21087e+08,1.73823,4.72369e+08,
1,70,000000100000000101101011001010111110100111111010100001110111110011011110110100100101101011011101100100110000000111100101101101100010011010111101011001001010111111100010111100100101110000011101100011011010000100101011100010011001111011111101111000111000110101011000101111010000011011001011110001001000011110000010000010000011000110111010001111110010001110100000001010100100010100100101000101,-29.5312,-19.3639,11.1671,29.3627,-1.92284,14.4488,5.32169,25.4584,-29.5605,12.8373,6.31791,11.7971,29.5751,23.6125,-28.2713,-4.44268,-19.7961,-17.8476,28.0222,16.5657,2.77256,-26.8209,26.5206,-15.9211,-28.0808,-17.0492,29.1942,18.7706,8.51544,-12.6175,8.21123e+08,1.64993,4.97673e+08,
2,67,101010101101011100010101000011011000110100001010000000000111000001000010101110010101111001000100010001010110010110011010101011100111001010000000110011001111010110110010000010000110001101111111011000000010100111111111101110001010110000100011110100011101101101101110000110001101100000110111110001001001110100101100111000011111011101101110101101111001110001101111010000001001111111111111111001,10.0391,23.1217,-17.2983,1.17568,-28.3592,1.27823,-9.47503,-21.9937,-6.18606,-9.89256,17.3495,-5.98095,-8.63997,-26.0737,22.4698,-29.6997,29.9414,-24.9603,3.57832,25.7148,22.8653,11.3503,26.5206,24.7039,22.9606,25.7441,22.1402,-16.9613,-27.6633,29.956,7.96142e+08,1.51112,5.26856e+08,
3,67,101010101101011100010101000011011000110100001010000000000111000001000010101110010101111001000100010001010110010111011010101011100111001010000000110011001111010110110010000010000110001101111111011000000010100111111111101110001010110000100011110100011101101101101110000110001101100000110111110001001001110100101100111000011111011101101110101101111001110001101111010000001001111111111111111001,10.0391,23.1217,-17.2983,1.17568,-28.3592,1.27823,-9.47503,-21.9937,-6.12746,-9.89256,17.3495,-5.98095,-8.63997,-26.0737,22.4698,-29.6997,29.9414,-24.9603,3.57832,25.7148,22.8653,11.3503,26.5206,24.7039,22.9606,25.7441,22.1402,-16.9613,-27.6633,29.956,7.96135e+08,1.55693,5.11349e+08,
4,55,000010011110001000100101100101110110111000100101111101000011000111111100001011010110101100010100000010101110100110110111100101001000110100100001111110001110111110111000100001001110011001010001011111001111010111101101011101111000110100100001000110111001110010111111010010101001000011001110100011001110001101010111111001010010111101101100111010100101000110100010101011100111011101001000000001,-27.6853,-13.8994,-8.03199,-25.5537,-14.273,28.2127,-8.72787,7.57783,24.7772,26.8575,-17.6938,29.1723,28.9598,-27.7072,4.77231,24.3011,25.6562,26.6378,1.0365,18.3677,27.3483,-22.1255,8.25906,-23.737,23.7151,25.6928,9.67281,19.0636,24.2498,3.76145,8.21716e+08,1.55776,5.27498e+08,
5,81,111110011011100000111001110100000011000111011100110011110101111111101110110110000000111000111011101100011001111010001001001000001100001100001010010011001000100100111100001010111100010000011100110011000011001000001101001001101100110110100011010010001000110000000111101110001100011101100001011100010000001001011100000000001010111110001100011101010110010110110100101000101101010010010101011111,28.535,-28.3079,-14.8224,25.876,27.656,21.9644,-29.1723,21.9277,7.1603,-21.5395,-27.1505,-21.0341,4.63313,-9.48236,-28.3152,-7.131,-26.9235,21.0267,3.08021,-13.5917,-1.04383,3.46112,-8.37627,-25.5756,-29.8462,26.6158,20.0598,21.1732,-19.3859,-19.928,8.45005e+08,1.56663,5.39379e+08,
6,81,111110011011100000111001110100000011000111011100110011110101111111101110100110000000111000111011101100011001111010001001001000001100001100001010010011001000100100111100001010111100010000011100110011000011001000001101001001101100110110100011010010001000110000000111101110001100011101100001011100010000001001011100000000001010111110001100011101010110010110110100101000101101010010010101011111,28.535,-28.3079,-14.8224,25.876,27.656,21.8471,-29.1723,21.9277,7.1603,-21.5395,-27.1505,-21.0341,4.63313,-9.48236,-28.3152,-7.131,-26.9235,21.0267,3.08021,-13.5917,-1.04383,3.46112,-8.37627,-25.5756,-29.8462,26.6158,20.0598,21.1732,-19.3859,-19.928,8.44546e+08,1.56527,5.39552e+08,
7,91,110110001010100000000011100001000111001110000000111000110001011001101101101000000001010111111011111000110000101110010111111100100110100010110000110110001100010111101111100100001101000000011010100111001110001010110110110111110010111110000011111110001110011010010001000011001101001011101001010000101111000000000001000000101010000100000000111001010101111111011010010100010000011011010010010110,20.785,-29.8974,-25.832,15.108,-18.4263,21.393,-28.7181,22.294,-27.2897,29.6044,8.14919,-4.59651,-7.73898,-22.1182,-28.4471,24.1619,12.8592,23.8982,-26.2788,-2.97766,-26.0664,8.86705,-11.0792,0.0109877,-29.3847,-22.4771,5.03602,25.5903,-26.1543,8.60334,8.73028e+08,1.57918,5.52838e+08,
8,91,110110001010100000000011100001000111001110000000111000110001011001101101101000000001010111111011111000110000101110010111111100100110100010110000110110001100010111101111100100001101000000011010100111001110001010110110110111110010111110000011111110001111011010010001000011001101001011101001010000101111000000000001000000101010000100000000111001010101111111011010010100010000011011010010010110,20.785,-29.8974,-25.832,15.108,-18.4263,21.393,-28.7181,22.294,-27.2897,29.6044,8.14919,-4.59651,-7.73898,-22.1182,-28.4471,24.1619,12.8592,23.8982,-26.2788,-1.10243,-26.0664,8.86705,-11.0792,0.0109877,-29.3847,-22.4771,5.03602,25.5903,-26.1543,8.60334,8.73017e+08,1.5473,5.64219e+08,
9,91,110110001010100000000011100001000111001110000000111000110001011001101101101000000001010111111011111000110000101110010111111100100110100010110000110110001100010111101111100100001101000000011010100111001110001010110110110111110010111110000011111110001111011010010001000011001111001011101001010000101111000000000001000000101010000100000000111001010101111111011010010100010000011011010010010110,20.785,-29.8974,-25.832,15.108,-18.4263,21.393,-28.7181,22.294,-27.2897,29.6044,8.14919,-4.59651,-7.73898,-22.1182,-28.4471,24.1619,12.8592,23.8982,-26.2788,-1.10243,-26.0664,23.8689,-11.0792,0.0109877,-29.3847,-22.4771,5.03602,25.5903,-26.1543,8.60334,9.02231e+08,1.57766,5.71878e+08,
10,91,110110001010100000000011100001000111001110000000111000110001011001101101101001000001010111111011111000110000101110010111111100100110100010110000110110001100010111101111100100001101000000011010100111001110001010110110110111110010111110000011111110001111011010010001000011001111001011101001010000101111000000000001000000101010000100000000111001010101111111011010010100010000011011010010010110,20.785,-29.8974,-25.832,15.108,-18.4263,21.4003,-28.7181,22.294,-27.2897,29.6044,8.14919,-4.59651,-7.73898,-22.1182,-28.4471,24.1619,12.8592,23.8982,-26.2788,-1.10243,-26.0664,23.8689,-11.0792,0.0109877,-29.3847,-22.4771,5.03602,25.5903,-26.1543,8.60334,9.02258e+08,1.5844,5.69464e+08,
11,91,110110001010100000000011100001000111001110000000111000110001011001101101101001000001010111111011111000110000101110010111111100100110100010110000110110001100010111101111100100001101000000011010100111001110001010110110110111110010111110000011111110001111011010010001000011001111001011101001010000101111000000000001000000101010000100000001111001010101111111011010010100010000011011010010010110,20.785,-29.8974,-25.832,15.108,-18.4263,21.4003,-28.7181,22.294,-27.2897,29.6044,8.14919,-4.59651,-7.73898,-22.1182,-28.4471,24.1619,12.8592,23.8982,-26.2788,-1.10243,-26.0664,23.8689,-11.0792,0.0109877,-29.3847,-22.4478,5.03602,25.5903,-26.1543,8.60334,9.02116e+08,1.60159,5.63261e+08,
12,91,110110001010100000000011100001000111001110000000111000110001011001101101101001000001010111111011111000110000101110010111111100100110100010110000110110001100010111101111100100001101000000011010100111001110001010110110110111110010111110000011111110001111011010000001000011001111001011101001010000101111000000000001000000101010000100000001111001010101111111011010010100010000011011010010010110,20.785,-29.8974,-25.832,15.108,-18.4263,21.4003,-28.7181,22.294,-27.2897,29.6044,8.14919,-4.59651,-7.73898,-22.1182,-28.4471,24.1619,12.8592,23.8982,-26.2788,-1.10975,-26.0664,23.8689,-11.0792,0.0109877,-29.3847,-22.4478,5.03602,25.5903,-26.1543,8.60334,9.02116e+08,1.6037,5.62522e+08,
13,91,110110001010100000000011100001000111001110000000111000110001011001101101101001000001010111111011111000110000101110010111111100100110100010110000110110001100010111101111100100001101000000011010100111001110001010110110110111110010111110000011111110001111011010000001000011001111001011101001010000101111000000000001000000101010000100000011111001010101111111011010010100010000011011010010010110,20.785,-29.8974,-25.832,15.108,-18.4263,21.4003,-28.7181,22.294,-27.2897,29.6044,8.14919,-4.59651,-7.73898,-22.1182,-28.4471,24.1619,12.8592,23.8982,-26.2788,-1.10975,-26.0664,23.8689,-11.0792,0.0109877,-29.3847,-22.3892,5.03602,25.5903,-26.1543,8.60334,9.01835e+08,1.54648,5.83152e+08,
14,91,110110001010100000000011100001000111001110000000111000110001011001101101101001000001010111111011111000110000101110010111111100100110100010110000110110001100010111101111100100001101000000011010100111001110001010110110110111110010111110000011111110001111011010000001000011001111011011101001010000101111000000000001000000101010000100000011111001010101111111011010010100010000011011010010010110,20.785,-29.8974,-25.832,15.108,-18.4263,21.4003,-28.7181,22.294,-27.2897,29.6044,8.14919,-4.59651,-7.73898,-22.1182,-28.4471,24.1619,12.8592,23.8982,-26.2788,-1.10975,-26.0664,25.7441,-11.0792,0.0109877,-29.3847,-22.3892,5.03602,25.5903,-26.1543,8.60334,9.126e+08,1.59999,5.70378e+08,
15,91,110110001010100000000011100001000111001110000000111000110001011001101101101001000001010111111011111000110000101110010111111100100110100010110000110110001100010111101111100100001101000000011010100111001110001010111110110111110010111110000011111110001111011010000001000011001111011011101001010000101111000000000001000000101010000100000011111001010101111111011010010100010000011011010010010110,20.785,-29.8974,-25.832,15.108,-18.4263,21.4003,-28.7181,22.294,-27.2897,29.6044,8.14919,-4.59651,-7.73898,-22.1182,-28.4471,24.1619,14.7345,23.8982,-26.2788,-1.10975,-26.0664,25.7441,-11.0792,0.0109877,-29.3847,-22.3892,5.03602,25.5903,-26.1543,8.60334,9.14359e+08,1.56281,5.85075e+08,
16,91,110110001010100000000011100001000111001110000000111000110001011001101101101001000001010111111011111000110000101110010111111100110110100010110000110110001100010111101111100100001101000000011010100111001110001010111110110111110010111110000011111110001111011010000001000011001111011011101001010000101111000000000001000000101010000100000011111001010101111111011010010100010000011011010010010110,20.785,-29.8974,-25.832,15.108,-18.4263,21.4003,-28.7181,22.294,-27.2897,29.6337,8.14919,-4.59651,-7.73898,-22.1182,-28.4471,24.1619,14.7345,23.8982,-26.2788,-1.10975,-26.0664,25.7441,-11.0792,0.0109877,-29.3847,-22.3892,5.03602,25.5903,-26.1543,8.60334,9.14648e+08,1.55302,5.88948e+08,
17,91,110110001010100000000011100001000111001110000000111000110001011001101101101001000001010111111011101000110000101110010111111100110110100010110000110110001100010111101111100100001101000000011010100111001110001010111110110111110010111110000011111110001111011010000001000011001111011011101001010000101111000000000001000000101010000100000011111001010101111111011010010100010000011011010010010110,20.785,-29.8974,-25.832,15.108,-18.4263,21.4003,-28.7181,21.8252,-27.2897,29.6337,8.14919,-4.59651,-7.73898,-22.1182,-28.4471,24.1619,14.7345,23.8982,-26.2788,-1.10975,-26.0664,25.7441,-11.0792,0.0109877,-29.3847,-22.3892,5.03602,25.5903,-26.1543,8.60334,9.12774e+08,1.56744,5.82333e+08,
