generacion, id, cromosoma, valor 1,valor 2,valor 3,valor 4,valor 5,valor 6,valor 7,valor 8,valor 9,valor 10,valor 11,valor 12,valor 13,valor 14,valor 15,valor 16,valor 17,valor 18,valor 19,valor 20,valor 21,valor 22,valor 23,valor 24,valor 25,valor 26,valor 27,valor 28,valor 29,valor 30,aptitud_individuo, valor_esperado, promedio_generacion
0,21,100010011110100111001000110000010110110001101010011100000100001101101010110110000011001111011011101101100000001111010011100000100111110001010010101000000101000100111101100011100000101101100100000001000010111110110100010111110110100000000000011011010010101011010100100000010001101001010000111100001111011110110110000111001111010011000000111111011100110010110101000010110001001111111011010100,2.32572,-16.617,-28.6668,-17.5253,-29.0184,20.0891,-26.9674,21.9644,-29.1063,-3.68087,26.5572,-11.2111,-25.3486,-23.422,20.8656,-22.1548,12.2732,25.5537,-29.6044,5.02136,-13.1083,-17.6645,-15.8845,14.4634,-23.2169,5.65132,27.9416,-8.78647,11.5407,27.8098,7.97999e+08,1.71596,4.65046e+08,
1,39,111010010010100100011100110101010001011000110101110000010111110001111101100010111100100010111100110010001001100110101011000100100000010110111000001100111001100011000111111001101000100000110000001110100011000010101110100000001100001111001101011011010010000010000000101110100010110110101100100110010100101010111111000001001111001100000011100000100110101100001100001100100101100000000000000110,24.6527,-21.6567,-10.2295,-23.7004,-24.4329,28.85,26.7623,23.9714,6.01758,-6.96984,-24.638,-23.9568,2.92638,18.0674,-27.1798,19.1076,10.9034,-24.2644,-17.4155,3.81272,-27.2751,-8.58869,-21.0194,-9.84861,-28.8426,-7.3947,-27.7365,1.43206,-21.2099,-29.956,8.06294e+08,1.59749,5.04725e+08,
2,39,111010010010100100011100110101010001011000110101110000010111110001111101100010111100100010111100110010001001100110101011000100100000010110111000001100111001100011000111111001101000100000110000001110100011000010101110100000001100101111001101011011010010000010000000101110100010110110101100100110010100101010111111000001001111001100000011100000100110101100001100001100100101100000000000000110,24.6527,-21.6567,-10.2295,-23.7004,-24.4329,28.85,26.7623,23.9714,6.01758,-6.96984,-24.638,-23.9568,2.92638,18.0674,-27.1798,19.1076,10.9034,-24.03,-17.4155,3.81272,-27.2751,-8.58869,-21.0194,-9.84861,-28.8426,-7.3947,-27.7365,1.43206,-21.2099,-29.956,8.04893e+08,1.50512,5.34769e+08,
3,39,111010010010100100011100110101011001011000110101110000010111110001111101100010111100100010111100110010001001100110101011000100100000010110111000001100111001100011000111111001101000100000110000001110100011000010101110100000001100101111001101011011010010000010000000101110100010110110101100100110010100101010111111000001001111001100000011100000100110101100001100001100100101100000000000000110,24.6527,-21.6567,-9.76071,-23.7004,-24.4329,28.85,26.7623,23.9714,6.01758,-6.96984,-24.638,-23.9568,2.92638,18.0674,-27.1798,19.1076,10.9034,-24.03,-17.4155,3.81272,-27.2751,-8.58869,-21.0194,-9.84861,-28.8426,-7.3947,-27.7365,1.43206,-21.2099,-29.956,8.04679e+08,1.47152,5.46833e+08,
4,39,111010010010100100011100110101011001011000110101110000010111110001111101100010111100100010111100110010001001100110101011000100100000010110111000001100111001100011000111111001101000100000110000001110100011000010101110100000001100101111001101011011010010000010000000101110100010110110101100100110010100101010111111000001001111001100000011100000100110101100001100000100100101100000000000000110,24.6527,-21.6567,-9.76071,-23.7004,-24.4329,28.85,26.7623,23.9714,6.01758,-6.96984,-24.638,-23.9568,2.92638,18.0674,-27.1798,19.1076,10.9034,-24.03,-17.4155,3.81272,-27.2751,-8.58869,-21.0194,-9.84861,-28.8426,-7.3947,-27.7365,1.41741,-21.2099,-29.956,8.04679e+08,1.46727,5.48419e+08,
5,68,000100100111100001111111110001001110101111100010111101001000001000111101000000110101001110001000000000101011100101000111110011011010001111001101111101001001110111010100000000001111001111011110000101011111010001011101111010001010001100101010100010010111100101000001101110011110110111010100010111010101001011010111010111000011000101011010110001011000010001110111101100011110001110000000010011,-25.6709,-26.2569,-25.3925,26.6011,-13.0936,-1.40276,19.8987,-14.9835,13.4233,28.5277,3.56367,28.6668,21.8618,-29.5605,28.0149,11.1671,-7.98804,-25.224,9.87791,14.2144,-23.5319,21.4882,-24.5355,5.32902,-8.39092,-19.8401,-24.8285,-15.9724,-22.9166,-29.8608,8.20144e+08,1.50945,5.43339e+08,
6,68,000100100111100001111111110001001110101111100010111101001000001000111101000000110101001110001000000000101011100101000111110011011010001111001101111101001001110111010100000000001111001111011110001101011111010001011101111010001010001100101010100010010111100101000001101110011110110111010100010111010101001011010111010111000011000101011010110001011000010001110111101100011110001110000000010011,-25.6709,-26.2569,-25.3925,26.6011,-13.0936,-1.40276,19.8987,-14.9835,13.4233,28.5277,3.56367,28.6668,21.8618,-29.5605,28.0222,11.1671,-7.98804,-25.224,9.87791,14.2144,-23.5319,21.4882,-24.5355,5.32902,-8.39092,-19.8401,-24.8285,-15.9724,-22.9166,-29.8608,8.20205e+08,1.51092,5.42852e+08,
7,52,101010111001100010000101100101010010111111110000101100000000011101110011101001011100100100111111101001101111111111110000011000110100110000100110101001111000110100110011000101011100000110001001011101011011110100101000110011101111010001001011101000101011100001100101110001101010001111101111111001110010010001111110111100100000000000000110001111001101010101010110100000101001111111011101111100,10.2222,-26.0884,-10.1416,28.2127,-29.8974,24.2132,-3.21206,29.3481,29.9927,-27.0919,-18.6094,-10.3687,19.5031,-19.8034,-6.94787,10.7643,-20.4407,22.1621,-19.0929,-8.39092,-8.33964,-13.1596,28.5496,-21.5761,26.7257,-29.8242,27.0333,10.1416,-20.1624,14.0386,8.24214e+08,1.50114,5.49058e+08,
8,77,110100011111110101010001010011001101110000010111100011101010011101111010010010011101010101111110000000011110100011011000010001100110110001110100000101010100000101001011110001111111100000011100100100010000001100111000111011110000101110101011110011100001011110010001011011110010001001011111000011111111100010011101011110000101111011101111111010010010100000000000101011101010101000001000010101,19.2174,9.88524,-17.9429,-27.2458,24.953,27.3263,-2.4942,26.2642,24.5794,-27.9416,11.6799,-27.5095,-25.1434,3.73947,-28.3299,1.90087,-16.661,22.8434,11.0719,-27.2384,-24.6234,-13.8921,15.9358,16.1555,-1.79099,22.0303,8.58869,-29.9267,24.9969,-26.0957,8.30272e+08,1.45957,5.68848e+08,
9,77,110100011111110101010001010011001101110000010111100011101010011101111010010010011101010101111110000000011110100011011000010001100110110001110100000101010100000101001011110001111111100000011100100100010000001100111000111011110000101110101011110011100001011010010001011011110010001001011111000011111111100010011101011110000101111011101111111010010010100000000000101011101010101000001000010101,19.2174,9.88524,-17.9429,-27.2458,24.953,27.3263,-2.4942,26.2642,24.5794,-27.9416,11.6799,-27.5095,-25.1434,3.73947,-28.3299,1.90087,-16.661,22.8434,11.0719,-27.3556,-24.6234,-13.8921,15.9358,16.1555,-1.79099,22.0303,8.58869,-29.9267,24.9969,-26.0957,8.31278e+08,1.46113,5.68928e+08,
