generacion, id, cromosoma, valor 1,valor 2,valor 3,valor 4,valor 5,valor 6,valor 7,valor 8,valor 9,valor 10,valor 11,valor 12,valor 13,valor 14,valor 15,valor 16,valor 17,valor 18,valor 19,valor 20,valor 21,valor 22,valor 23,valor 24,valor 25,valor 26,valor 27,valor 28,valor 29,valor 30,aptitud_individuo, valor_esperado, promedio_generacion
0,4,001111000000101011001001111101010110110110011011000100000100011001111101000110011001100011000110100011000100111110101011001100110000101101011101000001000101111010100101111110100001101110011010100011010100110111101011010010010000100111000000011001111100000000100011100100000001011000010011111111101010011000101011010111111010111011101010000001111010111111011100101111111001100100101001100010,-15.9285,-9.0868,20.0891,18.1773,-28.9745,28.6449,-6.04688,-17.7231,-11.3283,-6.00293,-19.3493,0.509095,24.931,27.2384,24.0593,-5.05799,25.1508,-22.2134,-29.6264,22.5211,-16.639,-19.6569,29.9267,-18.4336,-7.57783,21.8618,-22.7994,25.8686,28.4984,-10.5299,7.51684e+08,1.54684,4.85949e+08,
1,4,001111000000101011001001111101010110110110011011000100000100011001111101000110011001100011000110100011000100111110101011001100110000101101011101000001000101111010100101111110100001101110011010100011010100110111101011010010010000100111000000011001111100000000100011100100000001011000010011111111101010011000101011010111111010111011101010000001111010111111011100101111111001100110101001100010,-15.9285,-9.0868,20.0891,18.1773,-28.9745,28.6449,-6.04688,-17.7231,-11.3283,-6.00293,-19.3493,0.509095,24.931,27.2384,24.0593,-5.05799,25.1508,-22.2134,-29.6264,22.5211,-16.639,-19.6569,29.9267,-18.4336,-7.57783,21.8618,-22.7994,25.8686,28.5057,-10.5299,7.51748e+08,1.45533,5.16548e+08,
2,70,100111011000011101011101000111000111110011000010101100010010011101110010000101011111110110101010110111110001101001110000010101011000001001010010010010011001000010010101111101010001110111111100001001011001100111111001100101101000100100111101011100101100110100100010011100011101101111011110101000110100000001111101011110111001011111001100110010001011010101101110111011101111000010101010111100,6.91857,25.2314,-3.29264,-7.18227,-25.6782,23.4806,-0.135515,-9.61421,-23.803,-27.4948,-27.8244,-21.3783,-27.8098,24.9017,-0.223416,-19.5031,28.4984,19.0197,27.612,-5.95898,-20.8363,13.0643,9.57026,-29.0844,-1.0365,28.5057,-21.8398,12.9984,26.0298,-9.87059,7.70517e+08,1.43752,5.36005e+08,
3,35,111001110110010001100011010101110000010111110011101000000000000010001001111111100000101011100011001011001011110100010100101110000110111011101101111110011111111000110010111110011110100001101101100111101111001011111001111011000101010111111010010110100011010001101001000111000010111110010110111101101101101011101100000001101100100001010011110011011011101010100111000001010110100010101011011100,24.2351,2.91173,-8.42022,28.557,-29.9927,-25.3193,0.640947,-24.052,14.3169,5.40227,13.9946,29.2968,23.2462,27.1505,-23.5832,28.0295,28.5789,2.51618,24.7113,-23.8616,4.16433,-7.69503,14.4634,20.4847,-28.4104,-27.5461,-17.1298,-10.4273,-9.71676,-9.63619,7.99512e+08,1.47459,5.42193e+08,
4,35,111001110110010001100011010101110000010111110011101000000000000010001001111111100000101011100011001011001011110100010100101110000110111011101101111110001111111000110010111110011110100001101101100111101111001011111001111011000101010111111010010110100011010001101001000111000010111110010110111101101101101011101100000001101100100001010011110011011011101010100111000001010110100010101011011100,24.2351,2.91173,-8.42022,28.557,-29.9927,-25.3193,0.640947,-24.052,14.3169,5.40227,13.9946,29.1796,23.2462,27.1505,-23.5832,28.0295,28.5789,2.51618,24.7113,-23.8616,4.16433,-7.69503,14.4634,20.4847,-28.4104,-27.5461,-17.1298,-10.4273,-9.71676,-9.63619,7.98401e+08,1.43056,5.58105e+08,
5,35,111001110110010001100011010101110000010111110011101000000000000010001000111111100000101011100011001011001011110100010100101110000110111011101101111110001111111000110010111110011110100001101101100111101111001011111001111011000101010111111010010110100011010001101001000111000010111110010110111101101101101011101100000001101100100001010011110011011011101010100111000001010110100010101011011100,24.2351,2.91173,-8.42022,28.557,-29.9927,-25.7881,0.640947,-24.052,14.3169,5.40227,13.9946,29.1796,23.2462,27.1505,-23.5832,28.0295,28.5789,2.51618,24.7113,-23.8616,4.16433,-7.69503,14.4634,20.4847,-28.4104,-27.5461,-17.1298,-10.4273,-9.71676,-9.63619,8.01712e+08,1.40969,5.68713e+08,
6,91,110000011111110100100100011101100000101000100010011100001011010111111000011110001110000101001011111011001100000110101110111010101100001001011000000000111110000010011011110101000100110110001100010111011111101010001101100110000000111110101100100000111101110111111101101100010000100110001011001011100111011100010101000011001110101101110100101110000000011111101110110010000101010010100110101111,15.467,8.56672,20.6678,-25.9639,-27.341,26.4766,-16.8001,-7.64376,15.3937,21.8838,-27.8025,-29.5458,-27.7219,9.51898,-6.77939,26.2129,3.19009,-29.5458,11.7312,26.0151,21.349,-25.5317,17.7231,13.2841,-26.9747,-4.08375,22.5284,27.9856,1.24161,-11.841,8.04216e+08,1.37378,5.85403e+08,
7,91,110000011111010100100100011101100000101000100010011100001011010111111000011110001110000101001011111011001100000110101110111010101100001001011000000000111110000010011011110101000100110110001100010111011111101010001101100110000000111110101100100000111101110111111101101100010000100110001011001011100111011100010101000011001110101101110100101110000000011111101110110010000101010010100110101111,15.4597,8.56672,20.6678,-25.9639,-27.341,26.4766,-16.8001,-7.64376,15.3937,21.8838,-27.8025,-29.5458,-27.7219,9.51898,-6.77939,26.2129,3.19009,-29.5458,11.7312,26.0151,21.349,-25.5317,17.7231,13.2841,-26.9747,-4.08375,22.5284,27.9856,1.24161,-11.841,8.04206e+08,1.38678,5.79909e+08,
8,91,110000011111010100100100011101100000101000100010011100001011010111111000011110001110000101001011111011001100000110101111111010101100001001011000000000111110000010011011110101000100110110001100010111011111101010001101100110000000111110101100100000111101110111111101101100010000100110001011001011100111011100010101000011001110101101110100101110000000011111101110110010000101010010100110101111,15.4597,8.56672,20.6678,-25.9639,-27.341,26.4766,-16.8001,-7.64376,15.3937,29.3847,-27.8025,-29.5458,-27.7219,9.51898,-6.77939,26.2129,3.19009,-29.5458,11.7312,26.0151,21.349,-25.5317,17.7231,13.2841,-26.9747,-4.08375,22.5284,27.9856,1.24161,-11.841,8.52813e+08,1.53368,5.56055e+08,
9,91,110000011111010100100100011101100000101000100010011100001011010111111000011110001110000101001011111011001100000110101111111010101100001001011000000000111110000010011011110101000100010110001100010111011111101010001101100110000000111110101100100000111101110111111101101100010000100110001011001011100111011100010101000011001110101101110100101110000000011111101110110010000101010010100110101111,15.4597,8.56672,20.6678,-25.9639,-27.341,26.4766,-16.8001,-7.64376,15.3937,29.3847,-27.8025,-29.5458,-27.7219,9.50433,-6.77939,26.2129,3.19009,-29.5458,11.7312,26.0151,21.349,-25.5317,17.7231,13.2841,-26.9747,-4.08375,22.5284,27.9856,1.24161,-11.841,8.52809e+08,1.46182,5.83389e+08,
