generacion, id, cromosoma, valor 1,valor 2,valor 3,valor 4,valor 5,valor 6,valor 7,valor 8,valor 9,valor 10,valor 11,valor 12,valor 13,valor 14,valor 15,valor 16,valor 17,valor 18,valor 19,valor 20,valor 21,valor 22,valor 23,valor 24,valor 25,valor 26,valor 27,valor 28,valor 29,valor 30,aptitud_individuo, valor_esperado, promedio_generacion
0,4,011100100011000001100100011110100111111111111110011000010110110000001010101001000010110111000010110010000101100110110000000100110100100100100000110010101011110110101010111001001001000110011001000011100001100001011101110011111100000101000000100101111111010001010010100110110110000110010110110010110111011010000101111010010111011100010111010000110101000111011110101001001010011111110010011011,-3.23404,-27.0626,24.8431,29.8169,-24.6673,-25.0116,-27.319,-24.7845,-8.97693,-29.436,-21.4443,-6.24466,21.2538,17.1444,-6.03223,-3.57099,-8.01734,28.1687,-29.4506,28.6375,-20.2283,15.7453,11.9216,12.2293,24.7186,23.1876,-26.8942,26.0957,-12.5443,23.6418,8.98914e+08,1.82047,4.93782e+08,
1,4,011100100011000001100100011110100111111111111110011000010110110000001010101001000010110111000010110010000101100110110000000100110100100100100000110010101011110110101010111001001001000110011001000011101001100001011101110011111100000101000000100101111111010001010010100110110110000110010110110010110111011010000101111010010111011100010111010000110101000111011110101001001010011111110010011011,-3.23404,-27.0626,24.8431,29.8169,-24.6673,-25.0116,-27.319,-24.7845,-8.97693,-29.436,-21.4443,-6.24466,21.2538,17.1444,-6.03223,-2.63338,-8.01734,28.1687,-29.4506,28.6375,-20.2283,15.7453,11.9216,12.2293,24.7186,23.1876,-26.8942,26.0957,-12.5443,23.6418,8.98898e+08,1.72458,5.21225e+08,
2,4,011100100011000001100100011110100111111111111110011000010110110000001010101001000010110111100010110010000101100110110000000100110100100100100000110010101011110110101010111001001001000110011001000011101001100001011101110011111100000101000000100101111111010001010010100110110110000110010110110010110111011010000101111010010111011100010111010000110101000111011110101001001010011111110010011011,-3.23404,-27.0626,24.8431,29.8169,-24.6673,-25.0116,-27.3117,-24.7845,-8.97693,-29.436,-21.4443,-6.24466,21.2538,17.1444,-6.03223,-2.63338,-8.01734,28.1687,-29.4506,28.6375,-20.2283,15.7453,11.9216,12.2293,24.7186,23.1876,-26.8942,26.0957,-12.5443,23.6418,8.98835e+08,1.61773,5.55614e+08,
3,4,011100100011000001100100011110100111111111111110011000010110110000001010101001000010110111100010110010000101100110110000000100110100100100100000110010101011110110101010111001001001000110011001000011101001100001011101110011111100000101000000100101111111010001010010100100110110000110010110110010110111011010000101111010010111011100010111010000110101000111011110101001001010011111110010011011,-3.23404,-27.0626,24.8431,29.8169,-24.6673,-25.0116,-27.3117,-24.7845,-8.97693,-29.436,-21.4443,-6.24466,21.2538,17.1444,-6.03223,-2.63338,-8.01734,28.1687,-29.4506,28.6375,-20.3455,15.7453,11.9216,12.2293,24.7186,23.1876,-26.8942,26.0957,-12.5443,23.6418,8.99254e+08,1.62126,5.54664e+08,
4,43,000011011110010001100000101000011111110000001010001000110110011101101110101001110000101011011111101010001100000011101001011100111010100000011001010100110111010010111110100000000011110111000000010111111000010100101001111111101110000101001100101011000010000001110000010101110010011011001100111101100101100101001011111100001001011111000111000000010010111100110001011011110101100000000001111011,-26.7477,2.83116,1.86424,-28.8133,-17.2397,21.8691,15.6355,29.3627,15.2179,-19.1149,7.59248,9.78269,-12.2073,-29.8901,-3.73215,29.1063,-20.1624,21.6054,-18.1187,-26.1983,-28.7254,-11.8117,-15.5695,17.4301,26.3887,28.3372,-28.8939,5.7905,27.5461,-29.099,9.07377e+08,1.61797,5.60811e+08,
5,43,000011011111010001100000101000011111110000001010001000110110011101101110101001110000101011011111101010001100000011101001011100111010100000011001010100110111010010111110100000000011110111000000010111111000010100101001111111101110000101001100101011000010000001110000010101110010011011001100111101100101100101001011111100001001011111000111000000010010111100110001011011110101100000000001111011,-26.733,2.83116,1.86424,-28.8133,-17.2397,21.8691,15.6355,29.3627,15.2179,-19.1149,7.59248,9.78269,-12.2073,-29.8901,-3.73215,29.1063,-20.1624,21.6054,-18.1187,-26.1983,-28.7254,-11.8117,-15.5695,17.4301,26.3887,28.3372,-28.8939,5.7905,27.5461,-29.099,9.07258e+08,1.62437,5.5853e+08,
6,4,011100100011000001100100011110100111111111111110011000010110110000001010101001000010110111100010110010000111100110110000000100110100100100100000110010100011110110101010111001001000000110011001000011101001100001011101110011111100000101000000100101111111010001010010100100110110000110010110110010110111011010000101111010010111011100010111010000110101000111011110101001001010011111110010011011,-3.23404,-27.0626,24.8431,29.8169,-24.6673,-25.0116,-27.3117,-24.7845,-1.47601,-29.436,-21.4443,-6.30326,21.2538,17.1151,-6.03223,-2.63338,-8.01734,28.1687,-29.4506,28.6375,-20.3455,15.7453,11.9216,12.2293,24.7186,23.1876,-26.8942,26.0957,-12.5443,23.6418,8.98424e+08,1.58986,5.65097e+08,
7,43,000011011111000001100000101000011111110000001010001000110110011101101110101001110000101011011111101010001100000011101001011100111010100000011001010100110111010010111110100000000011110111000000010111111000010100101001111111101110000101001100101011000010000001110000010101110010011011001100111101100101100101001011111100001001011111000111000000010010111100110001011001110101100000000001111011,-26.733,-27.1725,1.86424,-28.8133,-17.2397,21.8691,15.6355,29.3627,15.2179,-19.1149,7.59248,9.78269,-12.2073,-29.8901,-3.73215,29.1063,-20.1624,21.6054,-18.1187,-26.1983,-28.7254,-11.8117,-15.5695,17.4301,26.3887,28.3372,-28.8939,5.7905,-2.45758,-29.099,9.12386e+08,1.56907,5.81481e+08,
8,4,011100100011000001100100011110100111111111111110011000010110110000001010101001000010110111100010110010000111100100110000000100110100100100100000110010100011110110101010111001001000000110011001000011101001100001011101110011111100000101000000100101111111010001010010100100110110000110010110110010110111011010000101111010010111011101010111010000110101000111011110101001001010011111110010011011,-3.23404,-27.0626,24.8431,29.8169,-24.6673,-25.0116,-27.3117,-24.7845,-1.59321,-29.436,-21.4443,-6.30326,21.2538,17.1151,-6.03223,-2.63338,-8.01734,28.1687,-29.4506,28.6375,-20.3455,15.7453,11.9216,12.2293,24.7186,25.0629,-26.8942,26.0957,-12.5443,23.6418,9.08309e+08,1.51149,6.00936e+08,
9,4,011100100001000001100100011110100111111111111110011000010110110000001010101001000010110111100010110010000111100100110000000100110100100100100000110010100011110110101010111001001000000110011001000011101001100001011101110011111100000101000000100101111111010001010010100100110110000110010110110010110111011010000101111010010111011101010111010000110101000111011110101001001010011111110010011011,-3.26334,-27.0626,24.8431,29.8169,-24.6673,-25.0116,-27.3117,-24.7845,-1.59321,-29.436,-21.4443,-6.30326,21.2538,17.1151,-6.03223,-2.63338,-8.01734,28.1687,-29.4506,28.6375,-20.3455,15.7453,11.9216,12.2293,24.7186,25.0629,-26.8942,26.0957,-12.5443,23.6418,9.0831e+08,1.52367,5.96133e+08,
10,4,011100100001000001100100011110100111111111111110011000010110110000001010101001000010110111100010110010000111100100110000000100110100100100100000110010100011110110101010111001001000000110011001000011101001100001011101110011111100000101000000100101111111010001010010101100110110000110010110110010110111011010000101111010010111011101010111010000110101000111011110101001001010011111110010011011,-3.26334,-27.0626,24.8431,29.8169,-24.6673,-25.0116,-27.3117,-24.7845,-1.59321,-29.436,-21.4443,-6.30326,21.2538,17.1151,-6.03223,-2.63338,-8.01734,28.1687,-29.4506,28.6375,-19.8767,15.7453,11.9216,12.2293,24.7186,25.0629,-26.8942,26.0957,-12.5443,23.6418,9.06672e+08,1.52727,5.93654e+08,
11,74,001101100011110001110101110010001100000000111011010011100011100000011011111111010011110111011101001101011010000100001001010100101011101011110110000010000000110111101100011000110111110000001110011000011100001010111110101110000011011101001000111100001010000000001111011001110111111110101001000010101011111011111100110010000000011111111010001100110010101100101110101011100011011011111110011110,-17.2909,3.45379,-21.7959,-23.0558,23.3268,-16.8807,-11.3796,24.7699,7.74631,-20.0818,25.2826,-29.0624,22.2134,16.639,-29.1576,-26.7037,14.7052,-28.3811,-21.6201,-11.2477,27.7658,29.8462,-14.3755,28.1028,16.8807,29.8315,17.9722,5.4682,23.3048,29.2895,9.06611e+08,1.52444,5.94717e+08,
12,74,001101100011110001110101110010001100000000111011010011100011100000011011111111010011110111011101001101011010000100001001010100101011101011110110000010000000110111101100011000110111110000001110011000011100001010111110101110000011011101101000111100001010000000001111011001110111111110101001000010101011111011111100110010000000011111111010001100110010101100101110101011100011011011111110011110,-17.2909,3.45379,-21.7959,-23.0558,23.3268,-16.8807,-11.3796,24.7699,7.74631,-20.0818,25.2826,-29.0624,22.2134,16.639,-29.1576,-26.7037,14.7052,-28.3811,8.38359,-11.2477,27.7658,29.8462,-14.3755,28.1028,16.8807,29.8315,17.9722,5.4682,23.3048,29.2895,8.83162e+08,1.50469,5.86939e+08,
13,59,000010011011000010101010100100010111101110110110001111101110010111000111101111000010101110100000100000100000100001110010011101011100100110001101000101111101000100011000000010001111101100110000011001000000011010111000010010111111000011111111110001001101100011111110010111111000111011011011111010001010101001010100000111111001101101000111110011110011110000010000010001101001110111111011001011,-27.7292,-25.0043,-13.6137,21.3564,25.8686,3.62959,-27.4435,-29.0477,-28.0222,-11.548,-21.0487,2.79453,-25.8979,-25.7954,17.8403,-22.4551,13.1962,-0.443169,29.7876,-4.57453,23.9055,-23.0411,28.6375,-10.6324,-22.5943,-5.39495,-15.716,-28.0955,-5.18984,27.7439,8.85717e+08,1.48097,5.98064e+08,
14,59,000010011011000010101010100100010111101110110110001111101110010111000111101111000010101110100000100000100000100001100010011101011100100110001101000101111101000100011000000010001111101100110000011001000000011010111000010010111111000011111111110001001101100011111110010111111000111011011011111010001010101001010100000111111001101101000111110011110011110000010000010001101001110111111011001011,-27.7292,-25.0043,-13.6137,21.3564,25.8686,3.62959,-27.4435,-29.0477,-28.0369,-11.548,-21.0487,2.79453,-25.8979,-25.7954,17.8403,-22.4551,13.1962,-0.443169,29.7876,-4.57453,23.9055,-23.0411,28.6375,-10.6324,-22.5943,-5.39495,-15.716,-28.0955,-5.18984,27.7439,8.85852e+08,1.44892,6.11389e+08,
15,66,000010100100011111101100000000010100100101110101111010011000110010000111001100101011100000000001110000010101110010011011000100111111110000001110011101010010011100010011111011110001110010001000111101101100100110111000010111010110001101000101000101100011110110111111010100111000011010011101111001100010000110110011000011000011100001001001100000000001110000111111000010010111100011110000000100,-27.5974,29.4213,-28.7987,13.8188,5.81248,-26.6304,10.7862,-26.711,-8.29569,-6.91857,26.3081,-16.2727,-3.46112,22.0889,-21.979,12.7274,13.2108,10.4126,-25.2314,-22.7701,27.4802,-26.9015,-1.51264,-26.8136,-27.1359,-27.8464,-29.8974,-22.6163,5.51947,22.5357,9.20837e+08,1.52075,6.05513e+08,
16,66,000010100100011111101100000000010100110101110101111010011000110010000111001100101011100000000001110000010101110010011011000100111111110000001110011101010010011100010011111011110001110010001000111101101100100110111000010111010110001101000101000101100011110110111111010100111000011010011101111001100010000110110011000011000011100001001001100000000001110000111111000010010111100011110000000100,-27.5974,29.4213,-28.784,13.8188,5.81248,-26.6304,10.7862,-26.711,-8.29569,-6.91857,26.3081,-16.2727,-3.46112,22.0889,-21.979,12.7274,13.2108,10.4126,-25.2314,-22.7701,27.4802,-26.9015,-1.51264,-26.8136,-27.1359,-27.8464,-29.8974,-22.6163,5.51947,22.5357,9.2069e+08,1.45744,6.31719e+08,
17,66,000010100100011111101100000000010100110101110101111010011000110010000111001100101011100000000001110000010101110010011011000100111111110000001110011101010010011100010011111011110001110010001000111101101101100110111000010111010110001101000101000101100011110110111111010100111000011010011101111001100010000110110011000011000011100001001001100000000001110000111111000010010111100011110000000100,-27.5974,29.4213,-28.784,13.8188,5.81248,-26.6304,10.7862,-26.711,-8.29569,-6.91857,26.3081,-16.2727,-3.46112,22.0889,-21.979,12.8446,13.2108,10.4126,-25.2314,-22.7701,27.4802,-26.9015,-1.51264,-26.8136,-27.1359,-27.8464,-29.8974,-22.6163,5.51947,22.5357,9.20776e+08,1.46885,6.26867e+08,
18,73,000101011101111100111010111111011000011100101011011111101010011100000011101001111100100110110010001001001010110001011011000000101111100011010110111100010110000010100110111111011000001001100001011010001000011100000111011010101111000011111110001101101101101110100000101001101011101110001100000000010000010101000000111101000000000010110111110000110000011100111111110001010000111111101110000101,-24.8797,24.2278,27.6853,5.09462,24.953,-28.2932,26.8209,4.01782,10.398,-7.41668,23.2902,-1.71041,-27.5607,28.8353,5.70993,-14.0093,-28.2639,-7.94409,28.3299,-4.25955,-27.5607,-2.08399,-29.9414,-20.155,27.1945,-24.616,-27.1652,7.47528,-11.0206,21.6054,9.02438e+08,1.43586,6.28501e+08,
