generacion, id, cromosoma, valor 1,valor 2,valor 3,valor 4,valor 5,valor 6,valor 7,valor 8,valor 9,valor 10,valor 11,valor 12,valor 13,valor 14,valor 15,valor 16,valor 17,valor 18,valor 19,valor 20,valor 21,valor 22,valor 23,valor 24,valor 25,valor 26,valor 27,valor 28,valor 29,valor 30,aptitud_individuo, valor_esperado, promedio_generacion
0,18,011000001110100100010111111011100000101111101101101100100011001110110110101000111000000010100010111111001101101011100011110110101111011000111000000101110011000000000010101101100011000000101000010000110000011000011111011010110101101110000101011010100010110000110111000111100111011011101000000111111111111011100011111010010011000100011000000011011100001011001110110101011111101100111001000000,-7.28482,-21.8032,13.1669,27.8611,-21.7446,-4.39141,22.543,-24.4036,21.3051,-1.08778,20.8363,-27.2824,-29.9634,-4.59651,-27.6413,-24.3304,-22.6383,-4.81626,-24.9237,-24.8211,-3.30729,25.7441,-28.1321,27.9197,24.66,-21.7959,-17.1005,-5.7612,-7.5705,-3.27799,7.94505e+08,1.63373,4.86314e+08,
1,18,011000001110100100010111111011100000101111101101101100100011001110110110101000111000000010100010111111001101101011100011110110101111011000111001000101110011000000000010101101100011000000101000010000110000011000011111011010110101101110000101011010100010110000110111000111100111011011101000000111111111111011100011111010010011000100011000000011011100001011001110110101011111101100111001000000,-7.28482,-21.8032,13.1669,27.8611,-21.7446,-4.39141,22.543,-24.4036,21.3051,-1.08778,20.8363,2.72128,-29.9634,-4.59651,-27.6413,-24.3304,-22.6383,-4.81626,-24.9237,-24.8211,-3.30729,25.7441,-28.1321,27.9197,24.66,-21.7959,-17.1005,-5.7612,-7.5705,-3.27799,7.35121e+08,1.49382,4.92109e+08,
2,18,011000001110100100010111111011100000101111101101101100100011001110110110101000111000000010100010111111001101101011100011110110101111011000111001000101110011000000000010101101100011000000101000010000110000011000011111011010110101101110000101010010100010110000110111000111100111011011101000000111111111111011100011111010010011000100011000000011011100001011001110110101011111101100111001000000,-7.28482,-21.8032,13.1669,27.8611,-21.7446,-4.39141,22.543,-24.4036,21.3051,-1.08778,20.8363,2.72128,-29.9634,-4.59651,-27.6413,-24.3304,-22.6383,-4.81626,-25.0409,-24.8211,-3.30729,25.7441,-28.1321,27.9197,24.66,-21.7959,-17.1005,-5.7612,-7.5705,-3.27799,7.35896e+08,1.46084,5.03748e+08,
3,57,111000010100110000100110101111111100001111010110111010100010110010001011110111001111100001010100000101000010000001000000000101111000000101011100100101101100010101000110101001001111000111101101000000101010000001000010110110000001110010010001010111111010010100100001001110100111100011000011100111101100111010000100111010010001111000010001000101011000101111010100011000000110000101111010101100,22.8067,1.13173,29.7802,25.1874,8.15651,-24.4402,-15.4523,7.65108,-22.4405,-29.3114,-28.7254,-12.3318,-10.2149,-12.6834,-1.10975,-25.0775,-14.3316,-29.1649,-13.7163,19.3566,-25.3998,26.6085,24.3084,-2.77988,24.638,15.5036,-9.80466,24.8944,-28.5789,27.5168,8.30372e+08,1.60095,5.18675e+08,
4,58,010110110001010101000001110001011010110001001100111000100000101001111010110100010101010001011111110000101101001001110000101110101000111000011000011001001011001110111100110000100100000000001011110001111110101011110010101111101010011110000000010010011110010100111101001110000000011001110100010110010000101001011111010111000101100000010010010001100001111010011101011100101001000011001110101011,-8.65462,9.43108,-24.682,-20.9901,-22.3526,27.5754,-10.061,29.5532,19.3273,-24.5355,-16.7855,-18.1992,-15.9871,1.05848,-29.3114,-15.1593,26.8942,19.9133,-29.7363,26.8649,19.5764,-26.9747,-24.7845,-10.5518,-8.35429,-29.4653,-24.2644,-11.548,-20.3821,6.88194,8.25833e+08,1.56198,5.28708e+08,
5,58,010110110001010101000001110001011010110001001100111000100000101001111010110100010101010001011111110000101101001001110000101110101000111000011000011001001011001110111100110000100100000000001011110001101110101011110010101111101010011110000000010010011110010100111101001110000000011001110100010110010000101001011111010111000101100000010010010001100001111010011101011100101001000011001110101011,-8.65462,9.43108,-24.682,-20.9901,-22.3526,27.5754,-10.061,29.5532,19.3273,-24.5355,-16.7855,-18.1992,-15.9871,1.05848,-29.3114,-17.0345,26.8942,19.9133,-29.7363,26.8649,19.5764,-26.9747,-24.7845,-10.5518,-8.35429,-29.4653,-24.2644,-11.548,-20.3821,6.88194,8.29257e+08,1.53965,5.38601e+08,
6,58,010110110001010101000001110001011010110001001100111000100000101001111010110100010101010001011111110000101101001001110000101110101000111000011000011001001011001110111100110000100100000000001011110001101110101011110010101111101010011110000000010010011110010100111101001110010000011001110100010110010000101001011111010111000101100000010010010001100001111010011101011100101001000011001110101011,-8.65462,9.43108,-24.682,-20.9901,-22.3526,27.5754,-10.061,29.5532,19.3273,-24.5355,-16.7855,-18.1992,-15.9871,1.05848,-29.3114,-17.0345,26.8942,19.9133,-29.7363,26.8649,19.591,-26.9747,-24.7845,-10.5518,-8.35429,-29.4653,-24.2644,-11.548,-20.3821,6.88194,8.29298e+08,1.5315,5.41494e+08,
7,58,010110110001010101000001110001011010110001001100111000100000101001111010110100010101010001011111110000101101001001110000101110101000111000011000011001001011001110111100110000100100000000001011110001101110101011110010101111101010011110000000010010011110010100111101001110000000011001110100010110010000101001011111010111000101100000010010010001100001111010011101011100101001000011001110101011,-8.65462,9.43108,-24.682,-20.9901,-22.3526,27.5754,-10.061,29.5532,19.3273,-24.5355,-16.7855,-18.1992,-15.9871,1.05848,-29.3114,-17.0345,26.8942,19.9133,-29.7363,26.8649,19.5764,-26.9747,-24.7845,-10.5518,-8.35429,-29.4653,-24.2644,-11.548,-20.3821,6.88194,8.29257e+08,1.52727,5.42967e+08,
8,87,001100010001011110110011001111101110001100001100100011010110010111011001000011111101111011000101100100001111100010100111101110110001001110100010000000111100001111000100111001100111111010110100100000101111010101100101011000001110011001010010011101011011111011000011010101001000000000000001000010101001111001011000000000111000101110001100001100100011010110110111011001000011111101111010000111,-18.4996,27.7512,28.9598,1.46869,20.243,11.7458,28.0588,-19.569,28.2786,27.9856,-11.592,-29.5605,-15.8699,18.0454,10.5811,-24.4549,-6.23733,-23.2536,-12.6981,22.3599,-17.5107,-30,-14.3829,26.9015,-29.1723,-3.39519,17.0712,21.4955,-14.0752,27.2458,8.46679e+08,1.52984,5.53442e+08,
9,87,001100010001011110110011001111101110001100001100100011010110010111011001000011111101111011000101100100001111100010100111101110110001001110100010000001111100001111000100111001100111111010110100100000101111010101100101011000001110011001010010011101011011111011000011010101001000000000000001000010101001111001011000000000111000101110001100001100100011010110110111011001000011111101111010000111,-18.4996,27.7512,28.9598,1.46869,20.243,11.7458,28.0588,-19.569,28.2786,27.9856,-11.592,-29.0917,-15.8699,18.0454,10.5811,-24.4549,-6.23733,-23.2536,-12.6981,22.3599,-17.5107,-30,-14.3829,26.9015,-29.1723,-3.39519,17.0712,21.4955,-14.0752,27.2458,8.4171e+08,1.47381,5.7111e+08,
