generacion, id, cromosoma, valor 1,valor 2,valor 3,valor 4,valor 5,valor 6,valor 7,valor 8,valor 9,valor 10,valor 11,valor 12,valor 13,valor 14,valor 15,valor 16,valor 17,valor 18,valor 19,valor 20,valor 21,valor 22,valor 23,valor 24,valor 25,valor 26,valor 27,valor 28,valor 29,valor 30,aptitud_individuo, valor_esperado, promedio_generacion
0,61,110010101110010101001001101111101101111111011001111111011110000001110011110101000010010000000111011011111001110101001100111001001011110101101000001000111101100110010101001110010100000100100010010000100101000011111011011000011001110010101010010110010110111110000000001101100111010000011011101110111000101001101100001000111001110011000011001101101111001001011000001111110001101000010010100000,17.5546,9.65816,28.9452,25.5463,22.0376,24.3011,-27.8904,-16.0603,6.86729,6.69882,27.5754,-25.8027,5.937,-3.16079,-12.9911,-25.6635,28.9232,-17.9136,9.70211,13.0717,-29.2089,24.4256,25.9932,-10.4566,-21.6567,5.71725,21.5175,-19.6643,26.6378,-21.3271,7.53087e+08,1.59579,4.71922e+08,
1,61,101001111101100100010110110001001111100011001010001010111110001001010110001010000000100100001011000101100101100111110000111010001100001000111001000100011110110110001011110101001110101101110110100110001110011111100111010100000000101101111110011110110111010010001101100110111101001000011111101001001110000111100011111111000011010010010010110000111001101000110100111100011000110000011001110100,9.34318,-21.8325,-25.3412,-6.31059,14.566,10.3907,-29.4726,-9.21133,-8.91833,-23.1803,-27.9197,2.09864,20.7997,9.80466,21.9497,16.6976,24.2205,-29.6704,28.5789,13.6577,21.0341,8.49347,24.6673,-26.462,29.1137,4.3035,-26.6231,-23.7956,-24.1985,-17.8989,7.86381e+08,1.5692,5.01136e+08,
2,72,010000100000111010001001011010111010110000000001100000001100101110110010011100000101100110001101011000100101010101111011011101011011011111001000010001000011000111110100111111010001000000010100000010010000010111010111000010011001111001111010111110000100010111011111100000110111000101110000010011101111111101100110101101010111000011010001000110011011111111100101110011010001101110110110100100,-14.522,19.027,10.9474,-29.8242,-27.0187,-6.35454,-24.7552,-4.90416,-9.96582,-4.05445,22.3013,-22.0083,-22.6676,28.6302,-28.828,-13.0863,20.4041,-17.8623,25.29,-21.8178,28.176,23.1803,-25.3779,28.8793,12.5296,-23.8762,-5.86375,26.9308,19.1588,-4.42071,7.99067e+08,1.5157,5.27192e+08,
3,54,000011010010101010111011000101000100111000000111011000110000011100000000110000011101011010100011001011000110111101110010011000010100000111001011100100101100001001111111110111101011111001110110110111111000100111101011101111000110101110001000001110100000011010011011000100001011111111101001010010011101011010000010001001000100000000010111001110100100101000000101111100100010010000011010101001,-26.9161,-9.51898,-10.962,-29.1356,-18.6461,-29.6484,-2.42095,-24.052,-3.87865,-12.1487,-28.3225,17.203,-20.6312,14.4122,6.96252,29.1356,25.2533,3.15346,-22.2867,-29.2309,11.4968,-0.0402881,-10.6764,12.2073,-21.5029,-29.3261,24.6527,-29.3041,-21.9717,-17.5107,8.35193e+08,1.54904,5.39166e+08,
4,41,010010011001000000110000011000110001000001101101010111011010110101010010101000110100011111011100101011100001010110000100110110110001100011011001111110010100001000101010010100101001000000000000011110011101011010101011111100000000110111100010110001111101100000011110000100111111011010101011111100111101001111100111100001110011100000101111010011111110101111101000111000000011000100100100001010,-12.7567,-28.5863,2.87511,-17.1884,21.2904,8.7352,19.2101,23.781,-24.9603,6.42046,-6.70614,29.2162,-21.8838,8.7059,-29.978,18.4483,10.3028,-29.5971,2.60408,25.3266,22.7921,25.6269,29.2895,7.32145,1.69576,-28.6156,-15.0787,27.297,-29.2821,-13.0497,8.40524e+08,1.59252,5.27795e+08,
5,41,010010011001000000110000011000110001000001101101010111011010110101010010101000110100011111011100101011100001010110000100110110110001100011011001111110010100001000101010010100101001000000000000011110011101011010101011111100000000110111100010110001111101100000011110000100111111011010101011111100111101001111100111100001110011100000101111010011110110101111101000111000000011000100100100001010,-12.7567,-28.5863,2.87511,-17.1884,21.2904,8.7352,19.2101,23.781,-24.9603,6.42046,-6.70614,29.2162,-21.8838,8.7059,-29.978,18.4483,10.3028,-29.5971,2.60408,25.3266,22.7921,25.6269,29.2895,7.32145,1.69576,-28.6156,-15.5476,27.297,-29.2821,-13.0497,8.41262e+08,1.59722,5.26703e+08,
6,41,010010011001000000110000011000110001000011101101010111011010110101010010101000110100011111011100101011100001010110000100110110110001100011011001111110010100001000101010010100101001000000000000011110011101011010101011111100000000110111100010110001111101100000011110000100111111011010101011111100111101001111100111100001110011100000101111010011110110101111101000111000000011000100100100001010,-12.7567,-28.5863,2.87511,-2.18655,21.2904,8.7352,19.2101,23.781,-24.9603,6.42046,-6.70614,29.2162,-21.8838,8.7059,-29.978,18.4483,10.3028,-29.5971,2.60408,25.3266,22.7921,25.6269,29.2895,7.32145,1.69576,-28.6156,-15.5476,27.297,-29.2821,-13.0497,8.31554e+08,1.51857,5.47592e+08,
7,41,010010011001000000110000011000110001000011101101010111011010110101010010101000110100011111011100101011100001010110000100110110110001100011011001111110010100001000101010010100101001000000000000011110011101011010101011111100000000110111100010110001111101100000011110000100111111011010101011111100111101000111100111100001110011100000101111010011110110101111101000111000000011000100100100001010,-12.7567,-28.5863,2.87511,-2.18655,21.2904,8.7352,19.2101,23.781,-24.9603,6.42046,-6.70614,29.2162,-21.8838,8.7059,-29.978,18.4483,10.3028,-29.5971,2.60408,25.3266,22.7921,25.6269,29.2895,3.57099,1.69576,-28.6156,-15.5476,27.297,-29.2821,-13.0497,8.31356e+08,1.48274,5.6069e+08,
8,54,000011010010101010111011000101000100111000000111011000110010011100000000110000011101011010100011001011000110111100110011011000010100000111001011100100101100001001111111110111101011111001110110110111111000100111101011101111000110101110001000001110100000011010011001000100001011111111101001010010011101011010000010001001000100000000010111001110100100101000000101101100100010010000011010101001,-26.9161,-9.51898,-10.962,-29.1356,-18.1773,-29.6484,-2.42095,-24.052,-3.93725,-4.64778,-28.3225,17.203,-20.6312,14.4122,6.96252,29.1356,25.2533,3.15346,-22.2867,-29.2309,3.99585,-0.0402881,-10.6764,12.2073,-21.5029,-29.3261,24.6527,-29.3334,-21.9717,-17.5107,8.30364e+08,1.47131,5.6437e+08,
9,54,000011010010101010111011000101000100111000000111011000110010011100000000110000011101011010100011001011000110111100110011011000010100000111001011100100101100001001111111110111101011111001010110110111111000100111101011101111000110101110001000001110100000011010011001000100001011111111101001010010011101011010000010001001000100000000010111001110100100101000000101101100100010010000011010101001,-26.9161,-9.51898,-10.962,-29.1356,-18.1773,-29.6484,-2.42095,-24.052,-3.93725,-4.64778,-28.3225,17.203,-20.6312,14.4122,5.08729,29.1356,25.2533,3.15346,-22.2867,-29.2309,3.99585,-0.0402881,-10.6764,12.2073,-21.5029,-29.3261,24.6527,-29.3334,-21.9717,-17.5107,8.30239e+08,1.41436,5.87008e+08,
10,73,001000110011100011000001100100001101000111010011111100001110101001111101101100000010110100000111110010110100001101110000000111110000111010100001101011101101000101001011010100000011110011011000100001011111111101000010010011101011010000010001010011100110101001101001110011000111110110101011100100010001101110101000111011101111100111111110100000010000100000110000110111110101001001111001011001,-21.7446,-24.3304,-14.2364,24.8431,-26.5718,28.9232,-27.363,-15.3864,-14.1924,-29.0917,-16.2874,20.492,-25.1508,7.61445,-17.3129,-18.756,-14.4634,20.2796,-13.7749,-17.5327,6.74277,28.9086,23.5026,21.8618,26.0151,-15.0421,-29.0331,-24.2791,27.4582,26.9088,8.69576e+08,1.46689,5.92801e+08,
11,73,001000110011100011000001100100001101000111010011111100001110101001111101101100000010110100000111110010110100001101110000000111110000111010100001101011101101000101001011010100000011110011011000100001011111111101000010010011101011010000010001010011100110101001101001110011000111110110101011100100000001101110101000111011101111100111111110100000010000100000110000110111110101001001111001011001,-21.7446,-24.3304,-14.2364,24.8431,-26.5718,28.9232,-27.363,-15.3864,-14.1924,-29.0917,-16.2874,20.492,-25.1508,7.61445,-17.3129,-18.756,-14.4634,20.2796,-13.7749,-17.5327,6.74277,28.9086,23.444,21.8618,26.0151,-15.0421,-29.0331,-24.2791,27.4582,26.9088,8.69293e+08,1.48116,5.869e+08,
12,34,111001101111000000000100011111100000001111011011100100100101010011101110011101011010001101110100011011111100110011011000011001110100011000010100010000001101111010000011000000111001101010000001001011000000111001001110001001110110000010110110101000110111100010010001110001011001100111000111010100100011001111101000000001000000101010100011110100000111001111111111000100000100100001110011010101,24.1326,-29.8755,28.1394,25.7368,-21.2611,21.7812,-5.42425,8.31767,18.0161,-26.9747,-24.3011,-22.4039,24.4256,-28.3152,7.5705,-7.3947,-11.6872,25.3339,21.2245,14.1338,-23.3561,-17.9209,19.8181,7.32878,-29.0551,-10.2002,-14.5806,29.8974,-28.9452,24.0667,8.73016e+08,1.43684,6.07594e+08,
13,34,111001101111000000000100011111100000001111011011100100100101010011101110011101011010001101110100011011111100110011011000011001110100011000010100010000001101111010000011000000111001101010000001001011000000111001001110001001110110000010110110101000110111100010010001110001011001100111000111010100100011001111101000000001000000101010100011110100000111001111111111000100000100100001110011010001,24.1326,-29.8755,28.1394,25.7368,-21.2611,21.7812,-5.42425,8.31767,18.0161,-26.9747,-24.3011,-22.4039,24.4256,-28.3152,7.5705,-7.3947,-11.6872,25.3339,21.2245,14.1338,-23.3561,-17.9209,19.8181,7.32878,-29.0551,-10.2002,-14.5806,29.8974,-28.9452,24.0374,8.72863e+08,1.42993,6.10423e+08,
14,73,001000110011100011000001100100001101000111010011111100001110101001111101101100000000110100000111110010110100001101110000000111110000111010100001101011101101000101001011010100000011110011011000100001011111111101000010011011101011010000010001010011100110101001101001110011000111110110101011100100001001101110101000111011101111100111111110100000010000100000110000110111110101001001111001011001,-21.7446,-24.3304,-14.2364,24.8431,-26.5718,28.9232,-29.2382,-15.3864,-14.1924,-29.0917,-16.2874,20.492,-25.1508,7.61445,-17.3129,-18.756,-14.4341,20.2796,-13.7749,-17.5327,6.74277,28.9086,23.4733,21.8618,26.0151,-15.0421,-29.0331,-24.2791,27.4582,26.9088,8.87307e+08,1.43813,6.16988e+08,
15,73,001000110011100011000001100100001101000111010011111100001110101001111101101100000000110100000111110010110100001101110000000111110000111010100001101011101101000101001011010100000011110011011000100001011111111101000010011011101011010000010001010011100110101001101001110011000111110110100011100100001001101110101000111011101111100111111110100000010000100000110000110111110101001001111001011001,-21.7446,-24.3304,-14.2364,24.8431,-26.5718,28.9232,-29.2382,-15.3864,-14.1924,-29.0917,-16.2874,20.492,-25.1508,7.61445,-17.3129,-18.756,-14.4341,20.2796,-13.7749,-17.5327,6.74277,28.8939,23.4733,21.8618,26.0151,-15.0421,-29.0331,-24.2791,27.4582,26.9088,8.87173e+08,1.42559,6.22321e+08,
