generacion, id, cromosoma, valor 1,valor 2,valor 3,valor 4,valor 5,valor 6,valor 7,valor 8,valor 9,valor 10,valor 11,valor 12,valor 13,valor 14,valor 15,valor 16,valor 17,valor 18,valor 19,valor 20,valor 21,valor 22,valor 23,valor 24,valor 25,valor 26,valor 27,valor 28,valor 29,valor 30,aptitud_individuo, valor_esperado, promedio_generacion
0,42,010101110111110111101100100100011101011011100100001111110100101111000000101111111010011110000010011101100000001000110000000010010010001111111000010000000110110010001010011100001111101110000110111001000100111000001100001110000101010011001001001101111110101001111010111111100000000100101101010011110111110000010001110110110000101000110101011001100110000101100111101011000110111110110001011011,-9.49701,14.4341,-13.2768,-3.25601,27.363,0.347943,24.8211,-25.3852,-29.4872,-29.7363,3.72482,-22.4551,17.0272,22.9606,22.9093,-21.9277,-27.1359,-27.5168,-21.3637,27.4802,11.2257,-29.4506,-10.3467,22.6309,21.3417,-13.4379,5.98095,12.1487,16.639,-6.83067,7.47586e+08,1.59353,4.69139e+08,
1,42,010101110111110111101100100100011101011011100100001111110100101111000000101111111010011110000010011101100000001000110000000010010010001111111000010000000110110010001010011100001111101110000110111001000100111000001100001110000101010011001001001101111110111001111010111111100000000100101101010011110111110000010001110110110000101000110101011001100110000101100111101011000110111110110001011011,-9.49701,14.4341,-13.2768,-3.25601,27.363,0.347943,24.8211,-25.3852,-29.4872,-29.7363,3.72482,-22.4551,17.0272,22.9606,22.9093,-21.9277,-27.1359,-27.5168,-21.3637,27.949,11.2257,-29.4506,-10.3467,22.6309,21.3417,-13.4379,5.98095,12.1487,16.639,-6.83067,7.5136e+08,1.52286,4.93389e+08,
2,91,001000011001111011101011000011100010000111011100010000011110100010011110100011000001101000110100101001110000000100101011010001011110101110011100100111100011000010101100101010001110001010100011001111000011010000011000010001001000110000111111101101111010101010101100000001000000011110101011110111010011101110100000000101000000010101000000111011100110001010000101011100000100011001111101001001,-22.1255,21.8911,-16.7562,25.8174,-22.8434,-15.6794,-28.4691,8.72787,-29.729,-5.45355,10.8888,-11.4601,-27.4728,-10.8375,9.56293,22.8873,-24.3157,4.10573,29.7363,20.0012,15.0641,-26.4107,27.9636,21.8032,-25.3119,9.40178,13.4892,-14.3609,-28.9745,28.6668,8.27824e+08,1.58796,5.21313e+08,
3,91,001000011001111011101011000011100010000111011100010000011110100010011110100011000001101000110100101001110000000100101011010001011110101110011100100111100011000010101100101010001110001011100011001111000011010000011000010001001000110000111111101101111010101010101100000001000000011110101011110111010011101110100000000101000000010101000000111011100110001010000101011100000100011001111101001001,-22.1255,21.8911,-16.7562,25.8174,-22.8434,-15.6794,-28.4691,8.72787,-29.729,-5.45355,10.8888,-11.4601,-27.4728,-10.8375,13.3134,22.8873,-24.3157,4.10573,29.7363,20.0012,15.0641,-26.4107,27.9636,21.8032,-25.3119,9.40178,13.4892,-14.3609,-28.9745,28.6668,8.29825e+08,1.58953,5.22056e+08,
4,91,001000011001111011101011000011100010000111011100010000011110100010011110100011000001101000110100101001110000000100101011010001011110100110011100100111100011000010101100101010001110001011100011001111000011010000011000010001001000110000111111101101111010101010101100000001000000011110101011110111010011101110100000000101000000010101000000111011100110001010000101011100000100011001111101001001,-22.1255,21.8911,-16.7562,25.8174,-22.8434,-15.6794,-28.4691,8.72787,-29.729,-5.45355,9.01355,-11.4601,-27.4728,-10.8375,13.3134,22.8873,-24.3157,4.10573,29.7363,20.0012,15.0641,-26.4107,27.9636,21.8032,-25.3119,9.40178,13.4892,-14.3609,-28.9745,28.6668,8.29194e+08,1.54001,5.38435e+08,
5,91,001000011001111011101011000011100010000111011100010000011111100010011110100011000001101000110100101001110000000100101011010001011110100110011100100111100011000010101100101010001110001011100011001111000011010000011000010001001000110000111111101101111010101010101100000001000000011110101011110111010011101110100000000101000000010101000000111011100110001010000101011100000100011001111101001001,-22.1255,21.8911,-16.7562,25.8174,-22.609,-15.6794,-28.4691,8.72787,-29.729,-5.45355,9.01355,-11.4601,-27.4728,-10.8375,13.3134,22.8873,-24.3157,4.10573,29.7363,20.0012,15.0641,-26.4107,27.9636,21.8032,-25.3119,9.40178,13.4892,-14.3609,-28.9745,28.6668,8.28022e+08,1.48626,5.57119e+08,
6,62,010101110111110111101100100100011101011011100100001111110100101111000000101111111010011110000010011101100000001001110100000010010010001111111000010000100110110010001010011100001111101110000110111001000100111000001100001110000101010011001001001101111110111001111010111011100000000100100100101011101001101000011011111111110011001000101101000000110010011000100101111110111101001100000111111100,-9.49701,14.4341,-13.2768,-3.25601,27.363,0.347943,24.8211,-25.3852,-29.4286,0.267367,3.72482,-22.2207,17.0272,22.9606,22.9093,-21.9277,-27.1359,-27.5168,-21.3637,27.949,10.9913,-29.4653,-19.7741,18.9537,29.8169,-13.6796,-27.048,-25.5537,14.3462,-26.2788,8.73853e+08,1.56126,5.5971e+08,
7,62,010101110111110111101100100100011101011011100100001111110100101111000000101111111010011110000010011101100000001001110100000010010010001111111000010000100110110010001010011100001111101110000110111001000100111000001100001110000101010011001001001101111110111001111010111011100000000100100100101011101001101000011011111111110011011000101101000000110010011000100101111110111101001100000111111100,-9.49701,14.4341,-13.2768,-3.25601,27.363,0.347943,24.8211,-25.3852,-29.4286,0.267367,3.72482,-22.2207,17.0272,22.9606,22.9093,-21.9277,-27.1359,-27.5168,-21.3637,27.949,10.9913,-29.4653,-19.7741,18.9537,29.8169,16.324,-27.048,-25.5537,14.3462,-26.2788,8.76068e+08,1.5819,5.53809e+08,
8,62,010101110111110011101100100100011101011011100100001111110100101111000000101111111010011110000010011101100000001001110100000010010010001111111000010000100110110010001010011100001111101110000110111001000100111000001100001110000101010011001001001101111110111001111010111011100000000100100100101011101001101000011011111111110011011000101101000000110010011000100101111110111101001100000111111100,-9.49701,6.93322,-13.2768,-3.25601,27.363,0.347943,24.8211,-25.3852,-29.4286,0.267367,3.72482,-22.2207,17.0272,22.9606,22.9093,-21.9277,-27.1359,-27.5168,-21.3637,27.949,10.9913,-29.4653,-19.7741,18.9537,29.8169,16.324,-27.048,-25.5537,14.3462,-26.2788,8.72508e+08,1.51927,5.74292e+08,
9,49,111100000100011111101100100010101110100000001001011001111111101011100011001111011101111001111000101100010100111100110100000111000000110101110011101011110000011100000001101101100111101111100101011000000001001011001000110011111111000110111101101001011111100001011000111000000001100011100100011110010110000110000011001101010101001101011011110000011011001001010001010011100111100101111010101000,26.3155,29.436,-19.7741,-28.9012,-0.0769137,16.5218,-1.96679,16.302,-11.4382,0.824075,-17.3935,20.514,-3.72482,-4.46466,28.4471,-29.8681,17.0639,29.5825,27.7951,29.1063,3.28531,-18.3311,-22.8873,-27.1652,-17.5034,-4.80894,-28.4104,-20.4774,24.2791,27.4875,8.77599e+08,1.50647,5.82555e+08,
